id,fips,Diabetes_Rate,Diabetes_Rate_White,Diabetes_Rate_Black,Diabetes_Rate_Asian,Diabetes_Rate_Hispanic,Grocery_Store_Proximity,Convenience_Store_Proximity,SNAP_Households,Income_Spent_on_Food,Housing_in_Poor_Repair,Drug_Arrests,Tree_Coverage,Air_Polluter_Proximity,Ejectments_per_Square_Mile,Cost_Burdened_Households,Sidewalks,Parks_Proximity,Traffic_Exposure,Bike_Commuters,Residents_Below_Poverty_Level,Service_Industry_Jobs,Racial_Income_Disparity,Clinic_Proximity,People_without_Insurance,Bus_Stop_Proximity,Pharmacy_Proximity,Childcare_Centers_per_Square_Mile,Healthcare_Workers,Total_Residents,Pct_Black,Pct_Hispanic,Pct_Non_Hispanic_White,Pct_Asian,Pct_Youth,Pct_Over_65,Patients_per_Acre,Dwellings_per_Acre
20.21,37063002021,0.095716783,0.072943172,0.142458101,0.075581395,0.103092784,0.369057908,0.560933449,0.035,,0.00043611,2.997334351,0.450493275,0.019014693,39.39845436,0.33718593,0.509590824,0.019014693,0.29124727,0.006175222,16.6,0.153092006,1.445575985,0.425669836,6.2,0.866464996,0.337510804,1.284571865,0.389517345,4518,0.330550542,0.068366426,0.474277978,0.118005415,0.200361011,0.069945848,1.735733691,1.548376161
20.22,37063002022,0.096900745,0.068251534,0.144175317,0.120300752,0.09375,0.125636672,0.575976231,0.065,,0,4.983996263,0.490392893,0.098896435,127.6056207,0.223170184,0.278246199,0.842529711,0.148907249,0.004760161,8.4,0.070220588,1.173030972,0.636672326,4.2,0.685483871,0.611629881,2.990397758,0.416544118,4688,0.354306942,0.092175528,0.474808451,0.073368934,0.185279777,0.083584862,4.543787565,3.669922353
20.23,37063002023,0.082131661,0.064030132,0.131868132,0.127659574,0.102564103,0.228802153,0.440107672,0.007,,0,2.248021572,0.562139691,0.014804845,141.6423454,0.225362872,0.202198421,0.429340511,0.073793467,0,2.4,0.100046318,1.093440969,0.430686406,4.2,0.897039031,0.427994616,2.248021572,0.334877258,3308,0.282407407,0.048076923,0.60042735,0.060185185,0.179843305,0.099002849,3.16518516,2.610136042
20.24,37063002024,0.08739327,0.065905744,0.155049787,0.133333333,0.042553191,0.010097919,0.040697674,0.009,,0.000317561,1.190906966,0.564199655,0.029375765,32.15814158,0.236852511,0.358917465,0.092105263,0.084650818,0,5,0.093911757,1.086380293,0.037331701,3.4,0.343329253,0.078641371,2.977267414,0.445403007,6188,0.186730506,0.051128591,0.667578659,0.085841313,0.195964432,0.068912449,3.84484873,3.040891977
20.25,37063002025,0.13876843,0.075782537,0.190712074,0.161616162,0.113970588,0,0.005688282,0.121,,0.001549187,1.685000698,0.573112975,0.012135002,72.04206541,0.251469353,0.352318745,0.218809253,0.104554971,0.009496175,11.4,0.166056485,1.231421519,0.008342814,6,0.414486159,0.005688282,3.79125157,0.344142259,6898,0.456551027,0.12647356,0.332435163,0.077972381,0.254125968,0.065341866,2.478430758,1.735888954
20.26,37063002026,0.169352387,0.072657744,0.203621908,0.114942529,0.142857143,0.022545959,0.231703087,0.208,,0.001404001,7.179557283,0.572917321,0.107180021,182.6498002,0.430936995,0.377407577,0.213319459,0.1527209,0,19.7,0.244277021,1.501289617,0.037807839,14.2,0.76344086,0.03052376,2.692333981,0.387423935,6434,0.702391192,0.142955445,0.116979185,0.034577671,0.232754172,0.091346981,2.584650845,2.021581223
20.27,37063002027,0.114942529,0.092755214,0.143687269,0.089928058,0.109929078,0.296793438,0.387770321,0.127,,0.001165501,3.576318568,0.550211756,0.141685309,51.47411627,0.428189355,0.361378216,0.143160127,0.207565523,0.001514578,19.8,0.177203421,1.683829888,0.007457122,14.3,0.536353468,0.019761372,2.176889563,0.216065452,9099,0.443069307,0.105885589,0.341034103,0.103685369,0.210533553,0.061056106,1.111913124,1.303387674
20.28,37063002028,0.095820093,0.08747412,0.116296863,0.07748184,0.091397849,0.140975539,0.228108265,0.055,,0.000443951,1.298512987,0.611060418,0.05775076,31.99471927,0.201756955,0.392909346,0,0.226332525,0,8.3,0.085686275,1.294182514,0.012158055,6.9,0.397742076,0.148357215,0.472186541,0.268039216,7604,0.36893851,0.077987002,0.420263289,0.123646059,0.183469422,0.032494584,0.68642051,1.274517416
21,37063002100,0.126923077,0.113224368,0.197431782,0.161290323,0.2,0,0.008087201,0.049,,0.010740315,0,,0.000703235,0.111822795,0.345646438,0.456780155,0.052943225,0.051158215,0,8.4,0.100649351,1.334557149,0,8.3,0,0,0.013977919,0.308441558,9284,0.146023263,0.030336372,0.802106256,0.014460861,0.210782773,0.149795662,0.091205905,0.062114366
22,37063002200,0.064466616,0.032596042,0.149466192,0,0.180555556,0,0.912457912,0.059,,0.012594458,30.30339027,0.166583147,0.971380471,80.81589383,0.284105131,1.102398982,0.937710438,0.166254299,0.020193152,17.4,0.127147766,1.197075014,0,12.1,1,0.135241302,3.367043363,0.395189003,1835,0.337101747,0.108941418,0.512846865,0.034943474,0.128468654,0.033915725,4.774786059,4.687971767
23,37063002300,0.173965937,0.06993007,0.210169492,0,0.105263158,0.934296029,1,0.442,,0.016977929,101.1647428,0.25899466,0.216606498,240.2879388,0.557142857,0.772118885,0.632374101,0.197265385,0,43.8,0.324712644,1.094855927,0.478700361,28.8,1,0.503249097,0,0.307471264,1484,0.817430503,0.120961683,0.060105184,0.000751315,0.175807663,0.078136739,2.641333693,4.561405442
