Unnamed: 0,merge,PopDen,PerW,PerAA,SexR,PerR,per_30to74,total__diabetic__per_sq_mi,actual_diabetic__poor_control_rate,Clust_12
101,370630020073,2181.571176,0.363753213,0.393316195,0.874698795,0.082580645,0.750642674,255.4335591,0.025408348,7
103,370630020082,1907.606255,0.876302673,0.044404169,1.041628122,0.044404169,0.649750793,77.02425433,0.007086614,8
104,370630020091,1146.486333,0.172690763,0.803882195,0.789221557,0.408602151,0.511378849,199.0770374,0.041530945,9
105,370630020092,1865.795487,0.22704918,0.619672131,0.936507937,0.418585526,0.602459016,234.7126466,0.041891892,9
106,370630020093,2066.290223,0.112920738,0.781758958,1.004352557,0.389765923,0.595548317,303.2248111,0.049795918,9
107,370630020131,2092.897282,0.489361702,0.434650456,1.027734977,0.218844985,0.680851064,231.4750169,0.018329939,3
108,370630020132,1757.504507,0.713713714,0.264264264,1.08125,0.389389389,0.704704705,132.3848824,0.016227181,8
109,370630020133,2404.378591,0.724202627,0.144934334,0.825342466,0.221857411,0.600375235,141.8117333,0.015653775,8
110,370630020151,6110.789236,0.660631995,0.280118499,0.92278481,0.759707932,0.504937459,268.8715442,0.025365104,11
111,370630020152,4284.879289,0.548496605,0.219204656,0.598449612,0.892337536,0.417555771,273.6545811,0.02715655,8
112,370630020153,1455.76871,0.652492669,0.162756598,0.739795918,0.900481541,0.240469208,109.9039512,0,8
113,370630020161,6382.794221,0.344869094,0.387601565,1.231699127,0.990370147,0.547998796,296.69191,0.02,3
114,370630020162,4293.328367,0.606569901,0.246753247,1.056559309,0.88961039,0.468296409,160.7534811,0.019516729,9
115,370630020171,558.6475394,0.818219462,0.014492754,1.051826678,0.082815735,0.583850932,26.52715453,0.0059988,2
116,370630020172,1406.347823,0.805144193,0.093530787,1.141903172,0.144193297,0.6375682,100.9373069,0.012633625,3
117,370630020173,1669.030882,0.725052521,0.099002101,0.751609936,0.532840939,0.549369748,73.06834685,0.005673759,7
118,370630020181,3816.773747,0.896745681,0.029730816,0.939984412,0.318601848,0.514262756,41.30895783,0.008984726,9
119,370630020182,2157.215972,0.446959726,0.369834167,0.885359801,0.659000793,0.485127665,76.46498118,0.016613419,9
120,370630020183,941.3175327,0.81490761,0.078609458,0.84566474,0.146662488,0.631381146,35.90376565,0.00571066,11
121,370630020191,706.0846042,0.762825279,0.19330855,0.915954416,0.600743494,0.565055762,12.99545428,0.005870841,8
122,370630020192,408.6591391,0.816040381,0.02916433,1.019252548,0.521592821,0.470555244,7.02740676,0.011009174,9
123,370630020193,1246.990948,0.79836353,0.150204559,0.857763301,0.101110462,0.625365283,35.3602139,0.006756757,1
124,370630020201,811.8138546,0.743135518,0.092116918,0.876974231,0.096988485,0.580602303,23.49394813,0.007400555,5
126,370630020211,1651.761132,0.617396785,0.211786952,0.754977876,0.665300977,0.541443429,68.55265681,0.011560694,5
127,370630020212,2984.8331,0.590137429,0.345998383,1.265567766,0.265637693,0.572352466,205.4681028,0.023255814,5
128,370630020221,4969.39175,0.327134404,0.607776839,0.700934579,0.784446323,0.56043956,218.3604788,0.017495396,8
129,370630020222,4310.406748,0.707746479,0.164172535,0.826366559,0.332891247,0.601672535,266.7443959,0.018455229,9
130,370630020231,3945.003863,0.766288952,0.145892351,1.031654676,0.529745042,0.618271955,110.6546208,0.008,11
131,370630020232,3356.839914,0.653781513,0.157983193,1.033029613,0.369352869,0.568627451,169.4456527,0.008247423,0
132,370630020241,3581.14972,0.683305863,0.208617848,0.904484305,0.19590299,0.627266306,182.8445321,0.010688836,0
133,370630020242,5158.853386,0.713430282,0.20188195,1.040139616,0.359281437,0.666381523,227.2162706,0.004491018,9
134,370630020243,3968.379235,0.8101983,0.121813031,0.776845638,0.355051936,0.598677998,285.6992821,0.01142132,9
135,370630020251,3227.121814,0.331283906,0.458589512,0.845794393,0.129441624,0.643761302,228.8146434,0.024962179,0
136,370630020252,3246.811925,0.519535375,0.454417459,0.871541502,0.41781063,0.548398451,220.6573067,0.02614841,0
137,370630020253,2217.814869,0.523876404,0.381320225,0.964137931,0.197322058,0.561797753,134.1627144,0.019390582,8
138,370630020261,4257.652943,0.248913473,0.712366653,0.753984754,0.466772782,0.526669301,439.7256405,0.045347928,0
139,370630020262,2362.169975,0.094559585,0.698704663,0.858449687,0.672242551,0.413471503,177.5377544,0.030845771,11
140,370630020271,438.9635462,0.433805162,0.322231474,1.021885522,0.135720233,0.697751873,59.71382895,0.023868313,11
141,370630020272,1729.893435,0.381982289,0.527758856,0.655483507,0.691324357,0.423365123,82.11690291,0.01999216,0
142,370630020273,7543.380805,0.243146067,0.604044944,1.187807276,0.984719101,0.443146067,245.0497764,0.025065963,0
143,370630020281,621.135665,0.542052612,0.298629122,0.941726619,0.19266395,0.599851797,38.96509972,0.019794721,5
144,370630020282,6602.008491,0.377677565,0.563697858,0.702495202,0.916572717,0.515219842,196.3644515,0.018867925,9
145,370630020283,945.884483,0.44106035,0.278905809,1.113230036,0.633107727,0.671460801,38.78390136,0.011083123,8
146,370630021001,120.7681297,0.816243194,0.161978221,1.046425255,0.039927405,0.697368421,10.58016406,0.013930951,0
149,370630022001,3624.622059,0.57036693,0.370645611,0.922321429,0.717147044,0.478402229,140.0240337,0.016884114,9
151,370630023002,1267.974561,0.105633803,0.651408451,1.290322581,1,0.471830986,229.8787632,0.0433213,11
